TYPEHUQ,HDD30YR,CDD30YR,BEDROOMS,NCOMBATH,TOTROOMS,CELLAR,GARGHEAT,HEATROOM,ACROOMS,USECENAC,TEMPNITEAC,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,KWHCOL,KWHRFG,KWHOTH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELOTH,DOLLAREL
2,4953,1271,4,1,9,1,0,9,9,3,73,5075,3958,3958,18466,3068.80,1515.50,7726.55,218.54,211.39,107.92,550.22,1315
2,2688,143,3,2,4,0,0,4,4,1,-2,3136,2736,2736,5148,182.00,1310.22,3655.78,16.79,0.00,120.89,337.32,475
5,5741,829,1,1,2,-2,-2,2,-2,-2,-2,528,528,264,2218,184.46,915.66,1117.88,48.90,0.00,242.75,296.35,588
2,5781,868,3,2,7,0,0,7,7,3,68,2023,1623,1623,10015,1063.02,1670.53,5393.91,101.05,179.42,158.80,512.73,952
3,5313,797,2,1,5,1,-2,5,-2,-2,-2,1912,1274,0,2869,0.00,346.47,2522.53,0.00,0.00,85.14,619.86,705
2,8708,436,3,1,6,1,-2,6,3,2,65,3485,3485,1538,6387,274.53,920.45,5192.02,45.13,0.00,151.32,853.55,1050
2,5355,796,4,2,7,1,-2,7,7,3,75,2654,2296,1938,11821,1224.71,1605.02,8522.50,253.21,0.00,331.84,1762.03,2444
2,1070,2554,3,2,6,0,0,6,6,3,75,2352,1952,1952,22928,6129.16,743.23,9866.96,700.88,517.72,84.99,1128.30,2622
3,5381,912,3,1,7,1,-2,7,7,1,-2,1635,1117,1117,9130,401.15,1563.80,2562.49,54.48,189.75,212.39,348.03,1240
2,4755,1467,3,1,7,1,-2,7,6,2,70,2390,1365,1170,7474,1080.53,926.62,4945.32,94.69,0.00,81.21,433.39,655
4,1335,613,2,1,3,0,-2,1,-2,-2,-2,731,244,0,2750,0.00,1313.01,1437.00,0.00,0.00,178.09,194.91,373
2,4668,1437,3,1,7,1,0,7,7,2,73,2185,1935,1456,11807,1343.90,2297.20,8165.91,245.17,0.00,419.09,1489.74,2154
